,Question,Answer URL,Answer Label,Question Rating,Answer Quality,Factual,questionId
40,meditation is it just spiritual practice or something more,https://skeptics.stackexchange.com/questions/922#941 ,yes,1.6666666666666667,3.0,1.0,922
41,insects as food is it feasible for humans to replace traditional livestock meat with insects,https://skeptics.stackexchange.com/questions/923#2068,na,2.0,2.0,1.0,923
42,can carbon in hair be proven to originate from corn,https://skeptics.stackexchange.com/questions/932#933,na,1.6666666666666667,1.6666666666666667,1.0,932
43,does the gspot exist,https://skeptics.stackexchange.com/questions/936#937,na,2.0,2.5,1.0,936
44,do people exposed to high levels of radiation pose any risk to their children or other individuals,https://skeptics.stackexchange.com/questions/974#1002,no,2.0,2.3333333333333335,1.0,974
45,can submerging into water be used to replace defibrillation,https://skeptics.stackexchange.com/questions/990#1006,no,2.5,2.5,1.0,990
46,is the use of parachutes supported by peerreviewed papers,https://skeptics.stackexchange.com/questions/1064#1066,yes,2.0,3.0,1.0,1064
47,has global mean temperature at sea level increased since,https://skeptics.stackexchange.com/questions/1065#1085,yes,2.0,2.3333333333333335,1.0,1065
48,are personal electronics a risk to commercial aviation,https://skeptics.stackexchange.com/questions/1118#1127,na,2.0,2.0,1.0,1118
49,did most sex workers experience abuse as a child,https://skeptics.stackexchange.com/questions/1121#44129,yes,2.6666666666666665,2.6666666666666665,1.0,1121
50,has man walked on the moon,https://skeptics.stackexchange.com/questions/1128#1130,yes,1.5,1.5,1.0,1128
51,does using a laptop on your lap lower your sperm count,https://skeptics.stackexchange.com/questions/1167#1170,yes,2.5,2.0,1.0,1167
52,is eating eggs bad for me,https://skeptics.stackexchange.com/questions/1186#1193,no,2.3333333333333335,2.0,1.0,1186
53,are saturated fats unhealthy,https://skeptics.stackexchange.com/questions/1231#1250,na,2.6666666666666665,2.3333333333333335,1.0,1231
54,does the mount washington wind speed record have scientific validity,https://skeptics.stackexchange.com/questions/1238#1253,no,2.0,2.5,1.0,1238
55,do men think about sex every  seconds,https://skeptics.stackexchange.com/questions/1508#7124,no,2.3333333333333335,2.3333333333333335,1.0,1508
56,would avoiding the eating of meat stop global warming,https://skeptics.stackexchange.com/questions/1509#1512 ,yes,2.3333333333333335,2.3333333333333335,1.0,1509
57,are programmers likely to be musicians,https://skeptics.stackexchange.com/questions/1570#1580,yes,3.0,2.0,1.0,1570
58,was there a trick behind this magnetic therapy demonstration,https://skeptics.stackexchange.com/questions/1587#1597,yes,2.6666666666666665,3.0,1.0,1587
59,is prescription fish oil better than overthecounter fish oil,https://skeptics.stackexchange.com/questions/1605#1619,na,1.3333333333333333,1.0,1.0,1605
60,do solar storms affect human behaviour,https://skeptics.stackexchange.com/questions/1675#1691 ,no,2.0,2.3333333333333335,1.0,1675
61,is learning more difficult for older people,https://skeptics.stackexchange.com/questions/1713#1724,na,2.0,2.6666666666666665,1.0,1713
62,do drug addicts stop maturing when they become addicted,https://skeptics.stackexchange.com/questions/1738#4764,na,2.0,2.3333333333333335,1.0,1738
63,is carbonated water unhealthy,https://skeptics.stackexchange.com/questions/1771#1814,no,2.0,2.3333333333333335,1.0,1771
64,is it possible to get to the power needed to thrust a rocket so that it can escape from earth,https://skeptics.stackexchange.com/questions/1783#10760 ,yes,1.5,2.5,1.0,1783
65,is a vegetarian vegan diet more healthy,https://skeptics.stackexchange.com/questions/1790#2058,yes,2.3333333333333335,1.6666666666666667,1.0,1790
66,are there any studies that prove or disprove the idea of six degrees of separation,https://skeptics.stackexchange.com/questions/1825#1826,no,2.0,2.3333333333333335,1.0,1825
67,is drinking water during a meal bad for you,https://skeptics.stackexchange.com/questions/1870#1871,no,2.0,2.3333333333333335,1.0,1870
68,do some casinos use extra oxygen to increase gambling or is this a myth,https://skeptics.stackexchange.com/questions/1872#1873,no,3.0,2.3333333333333335,1.0,1872
69,has the peter principle ever been proven or disproven,https://skeptics.stackexchange.com/questions/1901#7914,yes,1.5,1.5,1.0,1901
70,do you eat a certain number of spiders whilst you sleep,https://skeptics.stackexchange.com/questions/1908#1911,no,1.6666666666666667,1.6666666666666667,1.0,1908
71,is spanking an effective form of discipline for children,https://skeptics.stackexchange.com/questions/1939#1940,no,2.0,2.6666666666666665,1.0,1939
72,is poisoning possible from preservative on orange zest,https://skeptics.stackexchange.com/questions/1941#2451,na,2.0,2.6666666666666665,1.0,1941
73,are religious people happier,https://skeptics.stackexchange.com/questions/1954#1957,na,2.0,2.3333333333333335,1.0,1954
74,can one die of fear,https://skeptics.stackexchange.com/questions/2019#2020,yes,1.6666666666666667,2.3333333333333335,1.0,2019
75,does red bull energy drink contain sperm from a bull,https://skeptics.stackexchange.com/questions/2039#2041,no,2.0,2.5,1.0,2039
76,is there anything inexplicable about how the wtc twin towers collapsed,https://skeptics.stackexchange.com/questions/2108#2109,no,2.0,1.3333333333333333,1.0,2108
77,is kar a reliable method for dating rock ages,https://skeptics.stackexchange.com/questions/2112#8744 ,yes,2.6666666666666665,2.3333333333333335,1.0,2112
78,are different prices in wines justified by taste,https://skeptics.stackexchange.com/questions/2117#2122,no,2.3333333333333335,2.6666666666666665,1.0,2117
79,are homosexual men substantially more likely to be pedophiles than heterosexual men,https://skeptics.stackexchange.com/questions/2150#2164,no,2.0,2.0,1.0,2150
80,does child rearing by homosexual couples have any measurable negative effects,https://skeptics.stackexchange.com/questions/2153#23422,na,2.0,3.0,1.0,2153
81,are small and frequent meals better for health,https://skeptics.stackexchange.com/questions/2173#5904,yes,3.0,3.0,1.0,2173
82,is there hard science behind the benefits of home water softeners,https://skeptics.stackexchange.com/questions/2199#2223,na,1.6666666666666667,2.0,1.0,2199
83,is genetically modified food safe to consume,https://skeptics.stackexchange.com/questions/2215#17527,yes,3.0,2.5,1.0,2215
84,is eating clovenhoofed animals bottomfeeders or ruminants bad for you,https://skeptics.stackexchange.com/questions/2330#2347,no,1.5,2.0,1.0,2330
85,is there any observable evidence of the big bang,https://skeptics.stackexchange.com/questions/2335#2337 ,yes,2.0,3.0,1.0,2335
86,are there no two snow crystals alike,https://skeptics.stackexchange.com/questions/2342#2345,no,2.0,3.0,1.0,2342
87,do any diets work long term,https://skeptics.stackexchange.com/questions/2381#2382,no,2.3333333333333335,1.6666666666666667,1.0,2381
88,are frozen vegetables typically healthier to buy and eat than fresh ones,https://skeptics.stackexchange.com/questions/2400#2408 ,no,2.0,2.0,1.0,2400
89,does sleeping an average of  hours or more raise ones risk of brainrelated disorders,https://skeptics.stackexchange.com/questions/2414#3492,no,2.3333333333333335,2.6666666666666665,1.0,2414
90,is modern string theory stuck in the no predictions land,https://skeptics.stackexchange.com/questions/2484#2546,yes,2.3333333333333335,1.6666666666666667,1.0,2484
91,are diet sodas as healthy as drinking water,https://skeptics.stackexchange.com/questions/2523#2525,na,1.6666666666666667,2.0,1.0,2523
92,is there evidence that using handwriting increases empathy,https://skeptics.stackexchange.com/questions/2528#2531,yes,2.0,1.6666666666666667,1.0,2528
93,do emotionallydriven tears release toxins from the body,https://skeptics.stackexchange.com/questions/2561#3139,no,1.6666666666666667,2.6666666666666665,1.0,2561
94,are artificial hormones in beef something to worry about,https://skeptics.stackexchange.com/questions/2601#2623 ,no,1.5,3.0,1.0,2601
95,is physiotherapy effective in reducing repetitive strain injury rsi complaints,https://skeptics.stackexchange.com/questions/2612#8088,na,1.6666666666666667,1.6666666666666667,1.0,2612
96,is the hydrogen peroxide therapy harmful,https://skeptics.stackexchange.com/questions/2613#2616,yes,2.0,2.3333333333333335,1.0,2613
97,is the depiction of nudity or sex harmful to minors,https://skeptics.stackexchange.com/questions/2644#4586,no,2.3333333333333335,2.6666666666666665,1.0,2644
98,does taking whey protein make you gain muscle,https://skeptics.stackexchange.com/questions/2664#3105,na,2.3333333333333335,2.0,1.0,2664
99,did we have a global cooling  years ago,https://skeptics.stackexchange.com/questions/2667#2672,no,2.3333333333333335,2.6666666666666665,1.0,2667
100,can anything be more hydrating than water,https://skeptics.stackexchange.com/questions/2673#2676,yes,2.3333333333333335,3.0,1.0,2673
101,does having a pet help to cure your depression,https://skeptics.stackexchange.com/questions/2681#2684,yes,3.0,2.6666666666666665,1.0,2681
102,can people read much faster than  words per minute,https://skeptics.stackexchange.com/questions/2682#2689,yes,2.5,2.5,1.0,2682
103,does everyone have a phobia,https://skeptics.stackexchange.com/questions/2686#2831,no,2.0,2.0,1.0,2686
104,do people think in a language,https://skeptics.stackexchange.com/questions/2790#2830,no,2.6666666666666665,3.0,1.0,2790
105,did pope john paul ii perform a miracle,https://skeptics.stackexchange.com/questions/2835#10569,na,1.5,3.0,1.0,2835
106,is masturbation bad for ones health,https://skeptics.stackexchange.com/questions/2904#2911,no,3.0,2.0,1.0,2904
107,are people more likely to give honest responses to surveys when anonymous,https://skeptics.stackexchange.com/questions/2910#3109,no,2.5,3.0,1.0,2910
108,is smoking hookah safer than smoking cigarettes,https://skeptics.stackexchange.com/questions/2926#2927 ,no,1.3333333333333333,2.3333333333333335,1.0,2926
109,does the container that soda is in affect the flavour,https://skeptics.stackexchange.com/questions/3000#4164,yes,2.3333333333333335,2.6666666666666665,1.0,3000
110,do you feel pain in a lifethreatening situation,https://skeptics.stackexchange.com/questions/3010#5005,na,2.3333333333333335,1.3333333333333333,1.0,3010
111,does consuming different types of alcohol make you more sick than others,https://skeptics.stackexchange.com/questions/3013#10581,no,1.6666666666666667,1.3333333333333333,1.0,3013
112,is a woman who dresses sexually suggestively more likely to get raped,https://skeptics.stackexchange.com/questions/3028#7644,na,2.0,2.0,1.0,3028
113,can people feel somebody is watching them,https://skeptics.stackexchange.com/questions/3049#3052,no,2.3333333333333335,2.6666666666666665,1.0,3049
114,can any emf detector detect ghosts,https://skeptics.stackexchange.com/questions/3050#3053,no,3.0,2.3333333333333335,1.0,3050
115,do cats always land on their feet,https://skeptics.stackexchange.com/questions/3060#3063,no,2.0,3.0,1.0,3060
116,do babies have their own language,https://skeptics.stackexchange.com/questions/3072#4717,no,1.6666666666666667,3.0,1.0,3072
117,do opposite types in romantic relationships attract,https://skeptics.stackexchange.com/questions/3099#3100,yes,1.5,2.0,1.0,3099
118,beer goggles can alcohol make people look more attractive,https://skeptics.stackexchange.com/questions/3122#5396,yes,2.6666666666666665,2.3333333333333335,1.0,3122
119,have any cures been invented since the s or so,https://skeptics.stackexchange.com/questions/3131#3146,yes,2.0,1.6666666666666667,1.0,3131
120,do romantic relationships have a negative impact on academic performance,https://skeptics.stackexchange.com/questions/3150#4162,yes,3.0,2.3333333333333335,1.0,3150
121,is the ozone in the sharper image air ionizer unhealthy or can it cause asthma,https://skeptics.stackexchange.com/questions/3163#3165,yes,1.5,2.0,1.0,3163
122,do condoms have large enough holes for hiv to pass through,https://skeptics.stackexchange.com/questions/3167#3218,na,2.0,2.3333333333333335,1.0,3167
123,do antipregnancy pills have a negative effect on health,https://skeptics.stackexchange.com/questions/3186#3187,na,2.0,2.0,1.0,3186
124,have any questions where the underlying cause was thought to have had both a psychological and social component been thoroughly settled,https://skeptics.stackexchange.com/questions/3194#3722,na,2.0,2.6666666666666665,1.0,3194
125,are there negative developmental effects for children given into early childcare,https://skeptics.stackexchange.com/questions/3201#3227,na,1.6666666666666667,2.0,1.0,3201
126,do web filters block more healthmedical information than porn,https://skeptics.stackexchange.com/questions/3243#3250,no,1.3333333333333333,2.6666666666666665,1.0,3243
127,do things taste better if they contain nutrients that the body needs,https://skeptics.stackexchange.com/questions/3244#3248,yes,2.3333333333333335,3.0,1.0,3244
128,are there harmful levels of mercury in high fructose corn syrup hfcs,https://skeptics.stackexchange.com/questions/3254#5782,na,1.5,1.5,1.0,3254
129,has selective breeding increased the sugar level of fruits,https://skeptics.stackexchange.com/questions/3255#32130,yes,2.0,3.0,1.0,3255
130,is sitting dangerous,https://skeptics.stackexchange.com/questions/3257#30367,yes,2.0,2.5,1.0,3257
131,do women prefer men with a sense of humor,https://skeptics.stackexchange.com/questions/3332#3344,yes,3.0,2.0,1.0,3332
132,does hot water freeze faster than cold water,https://skeptics.stackexchange.com/questions/3371#3372,yes,2.6666666666666665,2.3333333333333335,1.0,3371
133,does nailbiting indicate iron deficiency,https://skeptics.stackexchange.com/questions/3404#3416,no,2.0,2.0,1.0,3404
134,are there no naturally blue foods,https://skeptics.stackexchange.com/questions/3410#3417,yes,1.3333333333333333,2.6666666666666665,1.0,3410
135,can cats survive a fall from any height,https://skeptics.stackexchange.com/questions/3430#3431,na,1.6666666666666667,2.6666666666666665,1.0,3430
136,does co cause global warming,https://skeptics.stackexchange.com/questions/3435#3440,yes,2.0,1.3333333333333333,1.0,3435
137,are onehit knockouts possible,https://skeptics.stackexchange.com/questions/3451#3526,yes,2.5,1.5,1.0,3451
138,are shopping centres busier when it rains,https://skeptics.stackexchange.com/questions/3488#3491,na,2.3333333333333335,1.3333333333333333,1.0,3488
139,does sleeping with our heads pointing towards north pose any health risks,https://skeptics.stackexchange.com/questions/3612#3613,no,1.0,2.0,1.0,3612
140,do active volcanoes emit more co than humans,https://skeptics.stackexchange.com/questions/3635#3636,no,2.6666666666666665,3.0,1.0,3635
141,do dentists have an unusually high suicide rate,https://skeptics.stackexchange.com/questions/3738#3745 ,na,1.6666666666666667,2.0,1.0,3738
142,do longer shipping times andor distances impact the nutritional content of produce,https://skeptics.stackexchange.com/questions/3773#3801,yes,3.0,2.3333333333333335,1.0,3773
143,is the glycogen restoration window real,https://skeptics.stackexchange.com/questions/3794#6049,yes,2.3333333333333335,2.6666666666666665,1.0,3794
144,is there a negative correlation between parenthood and pet ownership,https://skeptics.stackexchange.com/questions/3802#4806,no,1.6666666666666667,3.0,1.0,3802
145,are bar peanuts regularly tainted by urine,https://skeptics.stackexchange.com/questions/3803#3804,na,1.3333333333333333,1.0,1.0,3803
146,are first impressions unchangeable,https://skeptics.stackexchange.com/questions/3831#4103,no,2.6666666666666665,2.6666666666666665,1.0,3831
147,does indian water therapy have healing effects,https://skeptics.stackexchange.com/questions/4098#4432,no,1.0,1.6666666666666667,1.0,4098
148,is the british medical journal largely funded by vaccine manufactuers,https://skeptics.stackexchange.com/questions/4105#4511,no,1.0,1.0,1.0,4105
149,can sunny d turn you yellow,https://skeptics.stackexchange.com/questions/4153#4155,yes,2.6666666666666665,3.0,1.0,4153
150,do expired eggs float in water,https://skeptics.stackexchange.com/questions/4156#4157,yes,2.6666666666666665,2.3333333333333335,1.0,4156
151,are there more moves chess games than atoms in the universe,https://skeptics.stackexchange.com/questions/4165#4172,no,2.5,1.5,1.0,4165
152,can true allergies only be caused by proteins and proteinlike substances,https://skeptics.stackexchange.com/questions/4182#4183,no,1.6666666666666667,2.0,1.0,4182
153,does celery have an effect on male sexual performance,https://skeptics.stackexchange.com/questions/4186#4197,na,1.6666666666666667,1.3333333333333333,1.0,4186
154,did an xray burst interrupt radio signals shortly after dday,https://skeptics.stackexchange.com/questions/4226#4239,na,1.3333333333333333,1.0,1.0,4226
155,can a cats purr heal injuries,https://skeptics.stackexchange.com/questions/4245#4249,na,1.6666666666666667,1.6666666666666667,1.0,4245
156,do teddy bears help people go to sleep better,https://skeptics.stackexchange.com/questions/4278#4331,na,2.3333333333333335,1.3333333333333333,1.0,4278
157,does fda not test anything in order to approve it,https://skeptics.stackexchange.com/questions/4309#4312,yes,1.6666666666666667,2.6666666666666665,1.0,4309
158,is mental exhaustion something real,https://skeptics.stackexchange.com/questions/4315#4319,yes,3.0,3.0,1.0,4315
159,is there vastly more matter than antimatter in the universe,https://skeptics.stackexchange.com/questions/4348#4353,yes,2.3333333333333335,2.0,1.0,4348
160,is peanut butter good for removing gum,https://skeptics.stackexchange.com/questions/4357#4364,yes,3.0,2.5,1.0,4357
161,do increasing global temperatures cause earthquakes,https://skeptics.stackexchange.com/questions/4367#4578,na,2.0,2.0,1.0,4367
162,does circumcision reduce hiv risk,https://skeptics.stackexchange.com/questions/4398#4402,no,3.0,2.5,1.0,4398
163,do women prefer taller men,https://skeptics.stackexchange.com/questions/4409#4419,yes,1.5,2.0,1.0,4409
164,are chemically treatedheavy foods bad for you,https://skeptics.stackexchange.com/questions/4441#4468,yes,1.6666666666666667,1.3333333333333333,1.0,4441
165,are decorative magnets on refrigerator dangerous,https://skeptics.stackexchange.com/questions/4459#4617,no,2.0,3.0,1.0,4459
166,does torture work well as an interrogation technique,https://skeptics.stackexchange.com/questions/4498#4500,no,2.3333333333333335,2.6666666666666665,1.0,4498
167,is there a metabolically superior diet,https://skeptics.stackexchange.com/questions/4516#4528,yes,1.3333333333333333,1.0,1.0,4516
168,do personal development seminars bring real longterm benefits,https://skeptics.stackexchange.com/questions/4551#4562,na,2.5,3.0,1.0,4551
169,does the ama limit the number of doctors to increase current doctors salaries,https://skeptics.stackexchange.com/questions/4561#4703,yes,1.6666666666666667,2.6666666666666665,1.0,4561
170,is this magneticallycontrolled balls video fake,https://skeptics.stackexchange.com/questions/4566#4571 ,yes,1.6666666666666667,2.0,1.0,4566
171,are there any psychological benefits from participating in a religion,https://skeptics.stackexchange.com/questions/4588#4590,yes,2.6666666666666665,3.0,1.0,4588
172,are we heading for a mini ice age,https://skeptics.stackexchange.com/questions/4597#4605,no,2.0,2.0,1.0,4597
173,does burzynski have a miracle cancer cure being suppressed by the fda,https://skeptics.stackexchange.com/questions/4611#4614,no,2.0,1.6666666666666667,1.0,4611
174,does radon gas significantly increase ones chances of getting lung cancer,https://skeptics.stackexchange.com/questions/4621#4648 ,yes,2.3333333333333335,3.0,1.0,4621
175,does the karpen pile work producing continuous energy without refueling,https://skeptics.stackexchange.com/questions/4638#4640,na,1.6666666666666667,1.3333333333333333,1.0,4638
176,is tuesday a better day for press releases and similar information,https://skeptics.stackexchange.com/questions/4645#4654,na,1.6666666666666667,1.6666666666666667,1.0,4645
177,are certain days better than others to terminate employees,https://skeptics.stackexchange.com/questions/4647#4655,na,2.3333333333333335,2.3333333333333335,1.0,4647
178,do apple seeds contain arsenic,https://skeptics.stackexchange.com/questions/4681#4682,no,2.3333333333333335,2.0,1.0,4681
179,does human flesh tastes like pork,https://skeptics.stackexchange.com/questions/4731#4733,yes,1.0,3.0,1.0,4731
180,has a meat substitute from human feces been developed in japan,https://skeptics.stackexchange.com/questions/4739#4759,no,2.0,2.5,1.0,4739
181,can you recharge nonrechargeable alkaline batteries,https://skeptics.stackexchange.com/questions/4771#4803,yes,2.5,3.0,1.0,4771
182,can the human body absorb calories through the skin,https://skeptics.stackexchange.com/questions/4784#4799,na,2.0,2.0,1.0,4784
183,can transplant patients remember things their donors experienced,https://skeptics.stackexchange.com/questions/4800#4807,no,2.0,3.0,1.0,4800
184,do naturally raised animals contain less bacteria,https://skeptics.stackexchange.com/questions/4860#4879,na,2.0,1.3333333333333333,1.0,4860
185,can facial recognition analysis confirm that its  him,https://skeptics.stackexchange.com/questions/4862#4866,na,2.0,1.3333333333333333,1.0,4862
186,do knives get dull in dishwashers,https://skeptics.stackexchange.com/questions/4873#4920,yes,2.0,2.6666666666666665,1.0,4873
187,are generic drugs equivalent to the namebrand alternatives,https://skeptics.stackexchange.com/questions/4886#4887,yes,3.0,3.0,1.0,4886
188,are food deserts a real phenomenon,https://skeptics.stackexchange.com/questions/4927#4931,na,2.3333333333333335,2.6666666666666665,1.0,4927
189,do expensive electronic toothbrushes outperform cheaper models,https://skeptics.stackexchange.com/questions/4961#4974,na,2.3333333333333335,1.6666666666666667,1.0,4961
190,does spicy food have antibacterial traits,https://skeptics.stackexchange.com/questions/4983#4986,yes,2.0,2.0,1.0,4983
191,does eating slower make you lose weight,https://skeptics.stackexchange.com/questions/5002#5198,na,3.0,1.6666666666666667,1.0,5002
192,does bioptron vip visible incoherent polarized light therapy heal wounds and help with skin problems,https://skeptics.stackexchange.com/questions/5017#5019,no,1.6666666666666667,2.0,1.0,5017
193,can defibrillation revive a flatlined patient,https://skeptics.stackexchange.com/questions/5046#5078,na,1.6666666666666667,1.6666666666666667,1.0,5046
194,did global cooling have as much scientific consensus as global warming has now,https://skeptics.stackexchange.com/questions/5057#5098,na,2.5,2.0,1.0,5057
195,can antioxidants prevent cancer,https://skeptics.stackexchange.com/questions/5113#5160,na,2.0,2.0,1.0,5113
196,does climate change mean that weather becomes more variable in addition to being warmer,https://skeptics.stackexchange.com/questions/5119#10091,yes,2.5,2.5,1.0,5119
197,does the digestion of some foods burn more calories than it supplies,https://skeptics.stackexchange.com/questions/5122#5125,yes,2.0,2.0,1.0,5122
198,do juicers preserve the nutritional quality of fruit and vegetables,https://skeptics.stackexchange.com/questions/5130#10214,no,2.0,3.0,1.0,5130
199,is it possible to determine if a person is telling the truth by which direction they look,https://skeptics.stackexchange.com/questions/5134#5144,no,2.0,2.0,1.0,5134
200,are antipsychotic drugs vastly overused in the us,https://skeptics.stackexchange.com/questions/5234#5251,yes,1.6666666666666667,2.3333333333333335,1.0,5234
201,do visitors of lourdes experience spontaneous recovery more often than would be expected by chance,https://skeptics.stackexchange.com/questions/5252#5254,na,1.3333333333333333,2.3333333333333335,1.0,5252
202,are mcdonalds fries coated in sugar before cooking,https://skeptics.stackexchange.com/questions/5283#5285,no,2.5,2.0,1.0,5283
203,does black seed oil help treat various cancers asthma epilepsy liver conditions high blood pressure and more,https://skeptics.stackexchange.com/questions/5287#5308,no,1.5,3.0,1.0,5287
204,is it possible to be immunized to a poison,https://skeptics.stackexchange.com/questions/5295#5297,yes,2.0,2.5,1.0,5295
205,was the periodic table discovered in a dream by dmitri mendeleyev,https://skeptics.stackexchange.com/questions/5317#5320,yes,2.0,2.0,1.0,5317
206,do wind farms have a significant impact on weather patterns in the us,https://skeptics.stackexchange.com/questions/5334#5698,no,1.5,2.0,1.0,5334
207,is drinking alcohol or coke right after eating durian deadly,https://skeptics.stackexchange.com/questions/5335#5336,no,1.5,2.5,1.0,5335
208,does eating sour increase the chance that your children will be female,https://skeptics.stackexchange.com/questions/5366#5369,no,1.3333333333333333,1.3333333333333333,1.0,5366
209,does eating too much candy make your teeth rot,https://skeptics.stackexchange.com/questions/5399#5417,yes,2.0,2.0,1.0,5399
210,are women who have had children less likely to get breast cancer,https://skeptics.stackexchange.com/questions/5421#5422,yes,2.3333333333333335,2.3333333333333335,1.0,5421
211,is it cheaper to eat fast food,https://skeptics.stackexchange.com/questions/5426#5452,na,1.6666666666666667,1.0,1.0,5426
212,was there ever a cannibalistic butchermeat pierestaurant shop,https://skeptics.stackexchange.com/questions/5449#5453,yes,2.6666666666666665,2.0,1.0,5449
213,does drinking distilled water remove needed minerals from your body,https://skeptics.stackexchange.com/questions/5484#5489,yes,2.3333333333333335,2.3333333333333335,1.0,5484
214,do people intuitively turn a particular direction,https://skeptics.stackexchange.com/questions/5504#5532,na,2.0,2.0,1.0,5504
