Question,Answer URL,Answer Label,Question Rating,Answer Quality,Factual,questionId
can people read much faster than  words per minute,https://skeptics.stackexchange.com/questions/2682#2689,yes,2.5,2.5,1,2682
does everyone have a phobia,https://skeptics.stackexchange.com/questions/2686#2831,no,2,2,1,2686
can you put on more weight than what you eat,https://skeptics.stackexchange.com/questions/2688#34527,no,2,3,1,2688
do people think in a language,https://skeptics.stackexchange.com/questions/2790#2830,no,2.666666667,3,1,2790
is masturbation bad for ones health,https://skeptics.stackexchange.com/questions/2904#2911,no,3,2,1,2904
are people more likely to give honest responses to surveys when anonymous,https://skeptics.stackexchange.com/questions/2910#3109,no,2.5,3,1,2910
is smoking hookah safer than smoking cigarettes,https://skeptics.stackexchange.com/questions/2926#2927 ,no,1.333333333,2.333333333,1,2926
does the container that soda is in affect the flavour,https://skeptics.stackexchange.com/questions/3000#4164,yes,2.333333333,2.666666667,1,3000
do you feel pain in a lifethreatening situation,https://skeptics.stackexchange.com/questions/3010#5005,na,2.333333333,1.333333333,1,3010
does consuming different types of alcohol make you more sick than others,https://skeptics.stackexchange.com/questions/3013#10581,no,1.666666667,1.333333333,1,3013
is a woman who dresses sexually suggestively more likely to get raped,https://skeptics.stackexchange.com/questions/3028#7644,na,2,2,1,3028
can people feel somebody is watching them,https://skeptics.stackexchange.com/questions/3049#3052,no,2.333333333,2.666666667,1,3049
can any emf detector detect ghosts,https://skeptics.stackexchange.com/questions/3050#3053,no,3,2.333333333,1,3050
do cats always land on their feet,https://skeptics.stackexchange.com/questions/3060#3063,no,2,3,1,3060
do babies have their own language,https://skeptics.stackexchange.com/questions/3072#4717,no,1.666666667,3,1,3072
do opposite types in romantic relationships attract,https://skeptics.stackexchange.com/questions/3099#3100,yes,1.5,2,1,3099
beer goggles can alcohol make people look more attractive,https://skeptics.stackexchange.com/questions/3122#5396,yes,2.666666667,2.333333333,1,3122
have any cures been invented since the s or so,https://skeptics.stackexchange.com/questions/3131#3146,yes,2,1.666666667,1,3131
do romantic relationships have a negative impact on academic performance,https://skeptics.stackexchange.com/questions/3150#4162,yes,3,2.333333333,1,3150
is the ozone in the sharper image air ionizer unhealthy or can it cause asthma,https://skeptics.stackexchange.com/questions/3163#3165,yes,1.5,2,1,3163
do condoms have large enough holes for hiv to pass through,https://skeptics.stackexchange.com/questions/3167#3218,na,2,2.333333333,1,3167
do antipregnancy pills have a negative effect on health,https://skeptics.stackexchange.com/questions/3186#3187,na,2,2,1,3186
have any questions where the underlying cause was thought to have had both a psychological and social component been thoroughly settled,https://skeptics.stackexchange.com/questions/3194#3722,na,2,2.666666667,1,3194
are there negative developmental effects for children given into early childcare,https://skeptics.stackexchange.com/questions/3201#3227,na,1.666666667,2,1,3201
do web filters block more healthmedical information than porn,https://skeptics.stackexchange.com/questions/3243#3250,no,1.333333333,2.666666667,1,3243
do things taste better if they contain nutrients that the body needs,https://skeptics.stackexchange.com/questions/3244#3248,yes,2.333333333,3,1,3244
has selective breeding increased the sugar level of fruits,https://skeptics.stackexchange.com/questions/3255#32130,yes,2,3,1,3255
is sitting dangerous,https://skeptics.stackexchange.com/questions/3257#30367,yes,2,2.5,1,3257
is perfect pitch something youre born with,https://skeptics.stackexchange.com/questions/3274#3281,no,2,1.5,1,3274
do women prefer men with a sense of humor,https://skeptics.stackexchange.com/questions/3332#3344,yes,3,2,1,3332
does hot water freeze faster than cold water,https://skeptics.stackexchange.com/questions/3371#3372,yes,2.666666667,2.333333333,1,3371
does nailbiting indicate iron deficiency,https://skeptics.stackexchange.com/questions/3404#3416,no,2,2,1,3404
are there no naturally blue foods,https://skeptics.stackexchange.com/questions/3410#3417,yes,1.333333333,2.666666667,1,3410
can cats survive a fall from any height,https://skeptics.stackexchange.com/questions/3430#3431,na,1.666666667,2.666666667,1,3430
does co cause global warming,https://skeptics.stackexchange.com/questions/3435#3440,yes,2,1.333333333,1,3435
are onehit knockouts possible,https://skeptics.stackexchange.com/questions/3451#3526,yes,2.5,1.5,1,3451
are shopping centres busier when it rains,https://skeptics.stackexchange.com/questions/3488#3491,na,2.333333333,1.333333333,1,3488
does sleeping with our heads pointing towards north pose any health risks,https://skeptics.stackexchange.com/questions/3612#3613,no,1,2,1,3612
do active volcanoes emit more co than humans,https://skeptics.stackexchange.com/questions/3635#3636,no,2.666666667,3,1,3635
do dentists have an unusually high suicide rate,https://skeptics.stackexchange.com/questions/3738#3745 ,na,1.666666667,2,1,3738
do longer shipping times andor distances impact the nutritional content of produce,https://skeptics.stackexchange.com/questions/3773#3801,yes,3,2.333333333,1,3773
is the glycogen restoration window real,https://skeptics.stackexchange.com/questions/3794#6049,yes,2.333333333,2.666666667,1,3794
is there a negative correlation between parenthood and pet ownership,https://skeptics.stackexchange.com/questions/3802#4806,no,1.666666667,3,1,3802
are bar peanuts regularly tainted by urine,https://skeptics.stackexchange.com/questions/3803#3804,na,1.333333333,1,1,3803
are first impressions unchangeable,https://skeptics.stackexchange.com/questions/3831#4103,no,2.666666667,2.666666667,1,3831
is soy bad for you,https://skeptics.stackexchange.com/questions/4037#4336,na,1.5,2,1,4037
does indian water therapy have healing effects,https://skeptics.stackexchange.com/questions/4098#4432,no,1,1.666666667,1,4098
is the british medical journal largely funded by vaccine manufactuers,https://skeptics.stackexchange.com/questions/4105#4511,no,1,1,1,4105
can sunny d turn you yellow,https://skeptics.stackexchange.com/questions/4153#4155,yes,2.666666667,3,1,4153
do expired eggs float in water,https://skeptics.stackexchange.com/questions/4156#4157,yes,2.666666667,2.333333333,1,4156
are there more moves chess games than atoms in the universe,https://skeptics.stackexchange.com/questions/4165#4172,no,2.5,1.5,1,4165
can true allergies only be caused by proteins and proteinlike substances,https://skeptics.stackexchange.com/questions/4182#4183,no,1.666666667,2,1,4182
does celery have an effect on male sexual performance,https://skeptics.stackexchange.com/questions/4186#4197,na,1.666666667,1.333333333,1,4186
is fasting healthy,https://skeptics.stackexchange.com/questions/4217#25319,na,2.5,1,1,4217
did an xray burst interrupt radio signals shortly after dday,https://skeptics.stackexchange.com/questions/4226#4239,na,1.333333333,1,1,4226
can a cats purr heal injuries,https://skeptics.stackexchange.com/questions/4245#4249,na,1.666666667,1.666666667,1,4245
do teddy bears help people go to sleep better,https://skeptics.stackexchange.com/questions/4278#4331,na,2.333333333,1.333333333,1,4278
does fda not test anything in order to approve it,https://skeptics.stackexchange.com/questions/4309#4312,yes,1.666666667,2.666666667,1,4309
is mental exhaustion something real,https://skeptics.stackexchange.com/questions/4315#4319,yes,3,3,1,4315
is there vastly more matter than antimatter in the universe,https://skeptics.stackexchange.com/questions/4348#4353,yes,2.333333333,2,1,4348
is peanut butter good for removing gum,https://skeptics.stackexchange.com/questions/4357#4364,yes,3,2.5,1,4357
do increasing global temperatures cause earthquakes,https://skeptics.stackexchange.com/questions/4367#4578,na,2,2,1,4367
does circumcision reduce hiv risk,https://skeptics.stackexchange.com/questions/4398#4402,no,3,2.5,1,4398
do women prefer taller men,https://skeptics.stackexchange.com/questions/4409#4419,yes,1.5,2,1,4409
are chemically treatedheavy foods bad for you,https://skeptics.stackexchange.com/questions/4441#4468,yes,1.666666667,1.333333333,1,4441
are decorative magnets on refrigerator dangerous,https://skeptics.stackexchange.com/questions/4459#4617,no,2,3,1,4459
does torture work well as an interrogation technique,https://skeptics.stackexchange.com/questions/4498#4500,no,2.333333333,2.666666667,1,4498
is there a metabolically superior diet,https://skeptics.stackexchange.com/questions/4516#4528,yes,1.333333333,1,1,4516
do personal development seminars bring real longterm benefits,https://skeptics.stackexchange.com/questions/4551#4562,na,2.5,3,1,4551
does the ama limit the number of doctors to increase current doctors salaries,https://skeptics.stackexchange.com/questions/4561#4703,yes,1.666666667,2.666666667,1,4561
is this magneticallycontrolled balls video fake,https://skeptics.stackexchange.com/questions/4566#4571 ,yes,1.666666667,2,1,4566
are there any psychological benefits from participating in a religion,https://skeptics.stackexchange.com/questions/4588#4590,yes,2.666666667,3,1,4588
are we heading for a mini ice age,https://skeptics.stackexchange.com/questions/4597#4605,no,2,2,1,4597
does burzynski have a miracle cancer cure being suppressed by the fda,https://skeptics.stackexchange.com/questions/4611#4614,no,2,1.666666667,1,4611
does radon gas significantly increase ones chances of getting lung cancer,https://skeptics.stackexchange.com/questions/4621#4648 ,yes,2.333333333,3,1,4621
does the karpen pile work producing continuous energy without refueling,https://skeptics.stackexchange.com/questions/4638#4640,na,1.666666667,1.333333333,1,4638
is tuesday a better day for press releases and similar information,https://skeptics.stackexchange.com/questions/4645#4654,na,1.666666667,1.666666667,1,4645
are certain days better than others to terminate employees,https://skeptics.stackexchange.com/questions/4647#4655,na,2.333333333,2.333333333,1,4647
do apple seeds contain arsenic,https://skeptics.stackexchange.com/questions/4681#4682,no,2.333333333,2,1,4681
does human flesh tastes like pork,https://skeptics.stackexchange.com/questions/4731#4733,yes,1,3,1,4731
has a meat substitute from human feces been developed in japan,https://skeptics.stackexchange.com/questions/4739#4759,no,2,2.5,1,4739
can you recharge nonrechargeable alkaline batteries,https://skeptics.stackexchange.com/questions/4771#4803,yes,2.5,3,1,4771
can the human body absorb calories through the skin,https://skeptics.stackexchange.com/questions/4784#4799,na,2,2,1,4784
can transplant patients remember things their donors experienced,https://skeptics.stackexchange.com/questions/4800#4807,no,2,3,1,4800
do naturally raised animals contain less bacteria,https://skeptics.stackexchange.com/questions/4860#4879,na,2,1.333333333,1,4860
can facial recognition analysis confirm that its  him,https://skeptics.stackexchange.com/questions/4862#4866,na,2,1.333333333,1,4862
do knives get dull in dishwashers,https://skeptics.stackexchange.com/questions/4873#4920,yes,2,2.666666667,1,4873
are generic drugs equivalent to the namebrand alternatives,https://skeptics.stackexchange.com/questions/4886#4887,yes,3,3,1,4886
are food deserts a real phenomenon,https://skeptics.stackexchange.com/questions/4927#4931,yes,2.333333333,2.666666667,1,4927
do expensive electronic toothbrushes outperform cheaper models,https://skeptics.stackexchange.com/questions/4961#4974,yes,2.333333333,1.666666667,1,4961
does spicy food have antibacterial traits,https://skeptics.stackexchange.com/questions/4983#4986,yes,2,2,1,4983
do saunas affect your health,https://skeptics.stackexchange.com/questions/4996#5000,no,2,2.5,1,4996
does eating slower make you lose weight,https://skeptics.stackexchange.com/questions/5002#5198,na,3,1.666666667,1,5002
does bioptron vip visible incoherent polarized light therapy heal wounds and help with skin problems,https://skeptics.stackexchange.com/questions/5017#5019,no,1.666666667,2,1,5017
can defibrillation revive a flatlined patient,https://skeptics.stackexchange.com/questions/5046#5078,na,1.666666667,1.666666667,1,5046
did global cooling have as much scientific consensus as global warming has now,https://skeptics.stackexchange.com/questions/5057#5098,no,2.5,2,1,5057
can antioxidants prevent cancer,https://skeptics.stackexchange.com/questions/5113#5160,na,2,2,1,5113
does climate change mean that weather becomes more variable in addition to being warmer,https://skeptics.stackexchange.com/questions/5119#10091,yes,2.5,2.5,1,5119
does the digestion of some foods burn more calories than it supplies,https://skeptics.stackexchange.com/questions/5122#5125,yes,2,2,1,5122
do juicers preserve the nutritional quality of fruit and vegetables,https://skeptics.stackexchange.com/questions/5130#10214,no,2,3,1,5130
is it possible to determine if a person is telling the truth by which direction they look,https://skeptics.stackexchange.com/questions/5134#5144,no,2,2,1,5134
are antipsychotic drugs vastly overused in the us,https://skeptics.stackexchange.com/questions/5234#5251,yes,1.666666667,2.333333333,1,5234
do visitors of lourdes experience spontaneous recovery more often than would be expected by chance,https://skeptics.stackexchange.com/questions/5252#5254,na,1.333333333,2.333333333,1,5252
are mcdonalds fries coated in sugar before cooking,https://skeptics.stackexchange.com/questions/5283#5285,no,2.5,2,1,5283
does black seed oil help treat various cancers asthma epilepsy liver conditions high blood pressure and more,https://skeptics.stackexchange.com/questions/5287#5308,no,1.5,3,1,5287
is it possible to be immunized to a poison,https://skeptics.stackexchange.com/questions/5295#5297,yes,2,2.5,1,5295
was the periodic table discovered in a dream by dmitri mendeleyev,https://skeptics.stackexchange.com/questions/5317#5320,yes,2,2,1,5317
are electric chairs powered by generators connected to the mains in the same building,https://skeptics.stackexchange.com/questions/5331#41539,no,1.5,2,1,5331
do wind farms have a significant impact on weather patterns in the us,https://skeptics.stackexchange.com/questions/5334#5698,no,1.5,2,1,5334
is drinking alcohol or coke right after eating durian deadly,https://skeptics.stackexchange.com/questions/5335#5336,no,1.5,2.5,1,5335
does eating sour increase the chance that your children will be female,https://skeptics.stackexchange.com/questions/5366#5369,yes,1.333333333,1.333333333,1,5366
does eating too much candy make your teeth rot,https://skeptics.stackexchange.com/questions/5399#5417,yes,2,2,1,5399
are women who have had children less likely to get breast cancer,https://skeptics.stackexchange.com/questions/5421#5422,yes,2.333333333,2.333333333,1,5421
is it cheaper to eat fast food,https://skeptics.stackexchange.com/questions/5426#5452,na,1.666666667,1,1,5426
was there ever a cannibalistic butchermeat pierestaurant shop,https://skeptics.stackexchange.com/questions/5449#5453,yes,2.666666667,2,1,5449
does drinking distilled water remove needed minerals from your body,https://skeptics.stackexchange.com/questions/5484#5489,yes,2.333333333,2.333333333,1,5484
can products labelled homeopathic in actuality contain active ingredients,https://skeptics.stackexchange.com/questions/5518#5526,yes,2,2.333333333,1,5518
do we need to clean our ears remove earwax,https://skeptics.stackexchange.com/questions/5722#5754,no,2.666666667,2.666666667,1,5722
do patients with spinal cord injury recover faster with positive attitudes,https://skeptics.stackexchange.com/questions/5727#5880,yes,2,1.666666667,1,5727
do firstborns buy more insurance,https://skeptics.stackexchange.com/questions/5802#5806,yes,2.333333333,2.333333333,1,5802
does eating white rice regularly increase the risk of diabetes,https://skeptics.stackexchange.com/questions/5821#22031,no,2.666666667,1.666666667,1,5821
are there any proven benefits to ingesting wheatgrass,https://skeptics.stackexchange.com/questions/5842#5855,no,2,2.333333333,1,5842
can mountains on earth grow higher than  feet  m,https://skeptics.stackexchange.com/questions/5848#5866,na,1.666666667,2.666666667,1,5848
can you melt gold in a regular campfire,https://skeptics.stackexchange.com/questions/5849#5868,yes,2.666666667,2.333333333,1,5849
do fruitvegetable washes effectively remove pesticides,https://skeptics.stackexchange.com/questions/5865#5890,no,2.666666667,2,1,5865
is it impossible to fold a sheet of paper in half more than seven times,https://skeptics.stackexchange.com/questions/5912#5913,no,2.666666667,2.666666667,1,5912
is it dangerous to eat the contents of a damaged can,https://skeptics.stackexchange.com/questions/5920#5921,na,2,2,1,5920
did removing one olive lead to an airline saving thousands of dollars,https://skeptics.stackexchange.com/questions/5935#5938,yes,2.333333333,2.333333333,1,5935
does vinegar have bactericidal properties that help remedy food poisoning,https://skeptics.stackexchange.com/questions/5953#5954,no,1.666666667,3,1,5953
do open windows increase the chance of lightning striking the house,https://skeptics.stackexchange.com/questions/5962#5972,no,2,2,1,5962
is lasik corrective eye surgery unsafe,https://skeptics.stackexchange.com/questions/5967#5968,na,1.666666667,2.333333333,1,5967
is a coin toss fair,https://skeptics.stackexchange.com/questions/5982#5984,yes,1.666666667,2.666666667,1,5982
do the recent cloud results have significant implications for global warming,https://skeptics.stackexchange.com/questions/5983#36180,no,1.333333333,2,1,5983
is carbon still increasing in the atmosphere,https://skeptics.stackexchange.com/questions/5993#5994,no,2.333333333,2.333333333,1,5993
does adding milk or cream in the coffee help reduce teeth stain,https://skeptics.stackexchange.com/questions/6029#6104,yes,1.666666667,2.333333333,1,6029
is each step in the food chain  efficient,https://skeptics.stackexchange.com/questions/6035#6038,no,1.5,3,1,6035
have coma patients ever gained the ability to speak a foreign language fluently,https://skeptics.stackexchange.com/questions/6094#7734,no,1,2.5,1,6094
is it beneficial to drink alkaline water aka kangen water,https://skeptics.stackexchange.com/questions/6141#8954,no,2.666666667,3,1,6141
do probiotics have health benefits,https://skeptics.stackexchange.com/questions/6180#6183,na,2.333333333,2.333333333,1,6180
does orgone energy exist,https://skeptics.stackexchange.com/questions/6182#6256,no,1.666666667,2.666666667,1,6182
does diet soda cause tooth decay,https://skeptics.stackexchange.com/questions/6191#6195,yes,2,2.666666667,1,6191
is margarine one molecule away from plastic,https://skeptics.stackexchange.com/questions/6275#6276,yes,1.333333333,1.666666667,1,6275
does any ussold brand of  pure fruit juice contain added hfcs,https://skeptics.stackexchange.com/questions/6277#6279,na,1.666666667,2,1,6277
